id,brand_name,model,screen_size,price,release_year,operating_system,battery_capacity,ram,storage,camera_mp,front_camera_mp,refresh_rate,weight,thickness,body_material,chipset,gpu,dual_sim,network_support,bluetooth_version,wifi_version,usb_type,fast_charging,fingerprint_sensor
14991,Vivo,Vivo V25,6.5,43061,2017,Android,5035,12,64,64,32,120,194,7,Plastic,Apple A16,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,120,No
14990,Samsung,Galaxy Note 20,6.36,25019,2019,Android,4688,8,256,48,32,60,240,7.3,Metal,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.0,WiFi 6E,Type-C,18,Yes
14989,Motorola,Moto G73,6.38,23988,2018,Android,3847,8,128,12,8,120,170,6.6,Metal,Apple A16,Apple GPU,Yes,4G,5.2,WiFi 6E,Type-C,67,Yes
14988,Vivo,Vivo Y75,6.62,30893,2020,Android,3596,12,256,64,16,120,176,6.6,Glass,Dimensity 9000,Adreno 740,No,5G,5.2,WiFi 6,Type-C,33,Yes
14987,Oppo,Oppo Find X5,7.08,50031,2023,Android,4521,4,128,12,32,90,202,8.2,Plastic,Dimensity 9000,Mali-G710,Yes,5G,5.1,WiFi 6,Type-C,120,Yes
14986,Nokia,Nokia G22,6.74,5783,2024,Android,3917,6,128,108,16,144,228,9.4,Glass,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.2,WiFi 5,Type-C,33,No
14985,Google,Pixel 8,5.97,39019,2015,Android,5487,12,512,48,16,120,150,7.4,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,18,Yes
14984,OnePlus,OnePlus 9,5.55,33453,2025,Android,4190,6,64,108,32,120,186,6.7,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.1,WiFi 5,Type-C,120,Yes
14983,Motorola,Moto Edge 40,5.65,32505,2024,Android,3640,8,64,64,16,120,216,7.7,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6,Type-C,18,Yes
14982,Motorola,Moto G73,6.68,53699,2015,Android,5016,8,128,48,8,144,193,7.6,Glass,Apple A16,Adreno 740,No,5G,5.2,WiFi 6,Type-C,67,Yes
14981,Realme,Realme GT Neo 3,5.98,45808,2023,Android,4506,4,128,48,8,120,190,8.7,Plastic,Apple A16,Adreno 740,No,4G,5.1,WiFi 6,Type-C,120,Yes
14980,Xiaomi,Redmi Note 13,6.61,12979,2017,Android,4506,8,128,48,32,60,182,7,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,18,No
14979,Motorola,Moto G84,6.17,35959,2018,Android,5992,4,512,48,32,90,176,9.1,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.2,WiFi 5,Type-C,67,Yes
14978,Samsung,Galaxy Note 20,6.1,42634,2022,Android,5943,4,256,48,8,120,189,9.3,Plastic,Apple A16,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,18,Yes
14977,Google,Pixel 9,5.49,48754,2017,Android,3493,8,512,12,32,144,204,7.1,Plastic,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 5,Type-C,18,No
14976,Samsung,Galaxy Note 20,5.21,20875,2021,Android,3307,12,128,64,8,90,240,9.4,Glass,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.2,WiFi 5,Type-C,18,Yes
14975,Apple,iPhone 14,5.86,85763,2020,iOS,5484,8,128,64,16,120,220,8.7,Glass,Apple A16,Apple GPU,No,5G,5.1,WiFi 6E,Type-C,67,Yes
14974,Motorola,Moto G73,5.73,58943,2025,Android,5346,4,512,108,32,144,237,9.3,Plastic,Apple A16,Apple GPU,Yes,4G,5.0,WiFi 6E,Type-C,67,Yes
14973,OnePlus,OnePlus 9,6.6,7948,2021,Android,3182,8,128,64,16,120,166,7.3,Glass,Dimensity 9000,Adreno 740,Yes,5G,5.1,WiFi 5,Type-C,18,Yes
14972,Realme,Narzo 60x,5.94,38322,2017,Android,4467,8,256,64,8,144,203,6.7,Metal,Apple A16,Apple GPU,Yes,5G,5.2,WiFi 6E,Type-C,120,No
14971,Xiaomi,Redmi Note 12,5.14,14520,2025,Android,3649,6,256,48,8,60,183,8.8,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.1,WiFi 6E,Type-C,33,No
14970,Vivo,Vivo X80,5.88,5786,2022,Android,4833,8,512,64,8,90,226,8,Glass,Apple A16,Apple GPU,No,4G,5.1,WiFi 6,Type-C,67,No
14969,Vivo,Vivo V27,5.13,36598,2021,Android,4541,4,512,64,32,120,195,9.3,Plastic,Dimensity 9000,Adreno 740,No,4G,5.0,WiFi 6,Type-C,33,Yes
14968,Samsung,Galaxy A15,6.53,100751,2016,Android,3382,8,64,48,32,120,238,7.8,Metal,Dimensity 9000,Adreno 740,No,4G,5.2,WiFi 5,Type-C,120,No
14967,Nokia,Nokia X30,5.68,16426,2018,Android,4956,6,256,12,32,144,170,8.5,Metal,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.0,WiFi 6E,Type-C,120,Yes
14966,Oppo,Oppo Find X5,5.45,53061,2018,Android,3091,6,256,64,32,90,160,8.5,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 6,Type-C,18,Yes
14965,Nokia,Nokia X30,5.8,6014,2022,Android,4578,6,128,108,32,120,200,8.8,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.0,WiFi 6,Type-C,18,Yes
14964,Samsung,Galaxy A15,6.87,20469,2019,Android,4700,6,64,12,16,144,200,7.6,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.0,WiFi 6,Type-C,33,Yes
14963,Apple,iPhone 13,6.66,116421,2021,iOS,3324,8,64,12,32,90,158,6.8,Metal,Dimensity 9000,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,120,Yes
14962,Motorola,Moto G73,7.2,7192,2018,Android,3810,12,64,64,16,60,227,8.4,Glass,Dimensity 9000,Apple GPU,Yes,5G,5.2,WiFi 6,Type-C,18,No
14961,Motorola,Moto Edge 40,5.38,34850,2023,Android,4189,8,128,12,32,120,233,7.9,Metal,Apple A16,Adreno 740,Yes,4G,5.1,WiFi 5,Type-C,67,No
14960,Realme,Narzo 50,6.13,46906,2017,Android,3849,4,256,12,32,120,203,7.8,Glass,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,67,No
14959,Apple,iPhone 11,7.12,125723,2023,iOS,5876,4,64,48,32,60,191,6.9,Plastic,Dimensity 9000,Adreno 740,No,5G,5.2,WiFi 5,Type-C,120,No
14958,Xiaomi,Redmi Note 12,7.08,29833,2015,Android,3114,4,64,64,16,90,240,7.7,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.0,WiFi 6E,Type-C,120,Yes
14957,Motorola,Moto G84,5.72,30830,2018,Android,3527,8,512,48,8,144,157,6.8,Plastic,Apple A16,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,67,No
14956,Oppo,Oppo Reno 9,5.85,30993,2018,Android,4326,8,64,108,32,120,219,7.8,Metal,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,33,Yes
14955,Apple,iPhone 12,6.69,62443,2015,iOS,3189,8,64,64,32,60,184,7.3,Plastic,Apple A16,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,33,Yes
14954,Nokia,Nokia G21,5.8,55622,2015,Android,5242,12,128,64,32,60,158,7.5,Metal,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.2,WiFi 6E,Type-C,33,Yes
14953,Nokia,Nokia G21,6.38,44993,2018,Android,3306,12,256,64,16,60,194,7.4,Glass,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,120,No
14952,Oppo,Oppo F21,5.67,33834,2021,Android,5625,6,64,12,16,144,164,7.4,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6,Type-C,120,No
14951,Nokia,Nokia X30,6.58,34045,2022,Android,4039,8,512,64,16,90,190,8.3,Plastic,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 6,Type-C,67,Yes
14950,Motorola,Moto G73,5.86,22483,2022,Android,5218,12,128,108,16,60,225,7.9,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,67,No
14949,Oppo,Oppo Reno 8,5.92,48987,2021,Android,4997,4,64,48,8,90,221,8.1,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,33,No
14948,Oppo,Oppo Find X5,7.19,32767,2024,Android,5762,8,512,64,8,60,157,8.3,Metal,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,120,No
14947,Nokia,Nokia G21,6.13,27946,2021,Android,4159,12,64,64,8,120,220,8.5,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 6,Type-C,33,Yes
14946,OnePlus,OnePlus 11,5.28,43014,2025,Android,4485,4,64,108,8,90,208,8.3,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.2,WiFi 5,Type-C,120,No
14945,Google,Pixel 7,5.27,46684,2015,Android,5722,4,128,48,16,90,157,7.9,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 6E,Type-C,18,No
14944,Samsung,Galaxy Note 20,5.38,112590,2015,Android,5252,6,64,48,8,120,155,6.9,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6E,Type-C,33,No
14943,Realme,Realme 11 Pro,6.68,29803,2019,Android,4059,4,256,48,32,90,223,7.4,Glass,Apple A16,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,33,No
14942,Xiaomi,Redmi Note 11,5.67,48484,2016,Android,3826,8,64,48,16,90,227,8.4,Glass,Apple A16,Adreno 740,Yes,5G,5.2,WiFi 6E,Type-C,67,No
14941,Google,Pixel 6,7.13,59391,2022,Android,3408,6,512,48,32,60,219,8.4,Plastic,Apple A16,Adreno 740,No,5G,5.0,WiFi 5,Type-C,120,No
14940,Nokia,Nokia G21,6.62,12177,2017,Android,4280,6,256,64,16,120,233,8,Glass,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.0,WiFi 6E,Type-C,33,No
14939,Xiaomi,Mi 12,5.9,50729,2018,Android,3641,8,512,64,16,120,210,9.3,Metal,Apple A16,Adreno 740,Yes,5G,5.1,WiFi 6E,Type-C,67,Yes
14938,Apple,iPhone 11,5.51,119867,2015,iOS,5551,6,128,48,32,90,204,7.6,Metal,Dimensity 9000,Adreno 740,No,4G,5.1,WiFi 6,Type-C,67,No
14937,Nokia,Nokia X30,5.65,31873,2022,Android,5709,4,64,12,16,120,230,6.7,Metal,Dimensity 9000,Apple GPU,No,5G,5.2,WiFi 5,Type-C,120,Yes
14936,Apple,iPhone 15,6.17,104213,2020,iOS,5130,6,512,108,8,60,203,8.1,Glass,Apple A16,Apple GPU,No,5G,5.2,WiFi 5,Type-C,120,Yes
14935,Oppo,Oppo F21,5.66,22940,2023,Android,4919,4,256,108,16,120,194,8.7,Plastic,Apple A16,Adreno 740,Yes,4G,5.1,WiFi 5,Type-C,67,No
14934,Motorola,Moto G73,6.4,50982,2025,Android,3640,12,64,64,16,144,224,8.1,Glass,Apple A16,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,33,No
14933,Samsung,Galaxy Note 20,5.66,110201,2020,Android,3898,4,128,64,8,60,232,9.4,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,67,No
14932,OnePlus,OnePlus 11,5.94,59481,2021,Android,5124,12,128,12,8,120,176,6.8,Plastic,Apple A16,Adreno 740,No,5G,5.1,WiFi 5,Type-C,120,No
14931,Apple,iPhone 14,6.51,123824,2023,iOS,5635,4,256,64,32,120,168,6.9,Glass,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 5,Type-C,67,No
14930,Nokia,Nokia G21,6.46,16306,2023,Android,4941,8,512,48,32,90,193,8.1,Glass,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.2,WiFi 6,Type-C,120,No
14929,Motorola,Moto G73,6.43,48102,2020,Android,3849,6,128,64,8,60,187,7.2,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,33,Yes
14928,Xiaomi,Redmi Note 13,5.89,47740,2015,Android,5627,4,64,12,16,60,171,7.8,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,120,Yes
14927,Samsung,Galaxy S22,5.16,15864,2022,Android,5168,12,128,12,32,120,227,7.7,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 6E,Type-C,33,No
14926,Apple,iPhone 12,6.11,129568,2021,iOS,5789,8,64,48,32,60,227,9.5,Glass,Apple A16,Apple GPU,No,5G,5.1,WiFi 6,Type-C,18,Yes
14925,Apple,iPhone 12,7.15,132062,2025,iOS,3051,12,64,48,32,144,221,9.1,Metal,Dimensity 9000,Mali-G710,Yes,5G,5.2,WiFi 5,Type-C,18,No
14924,Apple,iPhone 13,5.32,117740,2022,iOS,4728,12,512,12,16,144,153,8.2,Glass,Dimensity 9000,Mali-G710,Yes,5G,5.1,WiFi 6,Type-C,120,Yes
14923,Vivo,Vivo Y75,5.85,8467,2023,Android,5268,12,64,64,16,144,218,8.9,Metal,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.1,WiFi 6E,Type-C,67,No
14922,Google,Pixel 9,6.9,8675,2022,Android,4245,6,512,12,16,144,188,7.8,Plastic,Dimensity 9000,Adreno 740,No,5G,5.2,WiFi 6E,Type-C,33,No
14921,Samsung,Galaxy Note 20,5.79,62163,2020,Android,4553,12,512,12,32,90,164,8.6,Plastic,Apple A16,Apple GPU,No,5G,5.0,WiFi 6,Type-C,67,Yes
14920,Nokia,Nokia X30,6,52433,2022,Android,5309,6,512,64,32,120,183,7.7,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.2,WiFi 5,Type-C,67,No
14919,OnePlus,OnePlus 9,7.13,21097,2025,Android,5382,6,256,108,8,60,174,7.9,Plastic,Dimensity 9000,Mali-G710,No,5G,5.1,WiFi 6E,Type-C,33,Yes
14918,OnePlus,Nord CE 3,5.81,8611,2025,Android,3808,12,512,48,16,120,187,8.9,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,4G,5.0,WiFi 5,Type-C,120,Yes
14917,Motorola,Moto G73,6.58,10818,2021,Android,3781,4,256,48,16,144,224,7,Glass,Dimensity 9000,Mali-G710,No,5G,5.0,WiFi 6E,Type-C,120,No
14916,Realme,Realme GT Neo 3,6.05,47802,2019,Android,4586,6,64,48,32,60,170,8,Glass,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6E,Type-C,120,No
14915,Google,Pixel 8,5.38,20288,2020,Android,4384,4,512,48,16,90,160,8.7,Plastic,Dimensity 9000,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,67,No
14914,Apple,iPhone 12,5.82,149505,2025,iOS,5820,4,128,108,16,60,238,8.9,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6,Type-C,33,Yes
14913,Nokia,Nokia X30,6.05,47796,2025,Android,5700,12,512,12,32,144,162,6.9,Glass,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.1,WiFi 6,Type-C,67,No
14912,Apple,iPhone 13,6.76,141288,2019,iOS,5792,8,128,12,32,90,215,7,Glass,Dimensity 9000,Adreno 740,No,4G,5.1,WiFi 5,Type-C,18,Yes
14911,Apple,iPhone 11,6.37,65382,2022,iOS,3617,6,64,12,8,90,154,9.5,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6,Type-C,120,No
14910,Apple,iPhone 13,6.59,143695,2015,iOS,5749,8,512,12,32,144,189,7.9,Glass,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.2,WiFi 5,Type-C,67,Yes
14909,Oppo,Oppo F21,6.04,40288,2015,Android,3864,6,64,108,8,60,225,8.1,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 5,Type-C,18,No
14908,Motorola,Moto Edge 40,6.62,30168,2023,Android,4187,4,64,48,16,120,202,9.2,Metal,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 5,Type-C,67,Yes
14907,OnePlus,OnePlus 10,6.74,59249,2016,Android,4944,4,64,108,32,120,173,6.7,Metal,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.1,WiFi 6,Type-C,67,Yes
14906,Motorola,Moto Edge 50,6.16,36985,2021,Android,5348,4,512,48,32,90,162,9,Metal,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 5,Type-C,67,No
14905,Xiaomi,Redmi Note 11,5.86,34972,2023,Android,4468,8,512,12,32,60,193,8.4,Glass,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 5,Type-C,18,No
14904,Google,Pixel 9,6.12,46149,2021,Android,3487,8,64,64,16,60,169,8.2,Glass,Apple A16,Mali-G710,No,5G,5.0,WiFi 5,Type-C,33,Yes
